input,session_id,timestamp,x,y,z
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641402333961,0.019394971,0.008399397,-0.00580322
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641422333961,0.011453724,0.01817324,-0.008857546
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641442333961,-0.0062613687,0.024281893,-0.0021380284
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641462333961,-0.00870483,0.025503624,-0.0076358155
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641482333961,-0.008093964,0.024281893,-0.0125227375
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641502333961,-0.008093964,-0.0013744468,-0.010079277
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641522333961,-0.019089539,-0.02275473,-0.011301007
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641542333961,-0.03863723,-0.027641652,-0.008857546
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641562333961,-0.044135015,-0.033750303,-0.006414085
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641582333961,-0.049021937,-0.027641652,-0.0076358155
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641602333961,-0.04596761,-0.020922136,-0.0106901415
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641622333961,-0.027030786,-0.011759156,-0.006414085
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641642333961,-0.019700404,-0.001985312,0.0070249503
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641662333961,-0.02275473,-0.0038179078,0.00580322
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641682333961,-0.027030786,-0.014813482,3.0543262E-4
sensor_gyroscope,01d27044-0d65-435b-b429-27726352ae10,1774536641702333961,-0.03436117,-0.00870483,-0.0033597588
